Link Names,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
link-31_45-POP,754.0,776.0,933.0,828.0
link-78_66-POP,604.0,713.0,645.0,782.0
link-POP-bb_a6,893.0,829.0,960.0,896.0
link-POP-aa_bb,832.0,788.0,964.0,851.0
link-30_49-POP,591.0,644.0,614.0,735.0
link-30_70-POP,853.0,713.0,902.0,835.0
link-30_87-POP,858.0,781.0,938.0,889.0
link-30_a8-POP,830.0,798.0,896.0,859.0
link-00_af-POP,839.0,590.0,909.0,708.0
link-00_c9-POP,827.0,564.0,917.0,698.0
link-00_d4-POP,816.0,539.0,889.0,725.0
link-00_da-POP,586.0,534.0,908.0,707.0
link-00_db-POP,864.0,530.0,908.0,695.0
link-00_de-POP,779.0,513.0,898.0,729.0
link-01_06-POP,759.0,447.0,883.0,721.0
link-06_C4-POP,560.0,544.0,898.0,714.0
link-0D_0A-POP,810.0,506.0,893.0,719.0
link-0D_1A-POP,780.0,537.0,903.0,725.0
link-12_86-POP,759.0,533.0,887.0,730.0
link-00_d2-POP,864.0,546.0,921.0,755.0
link-00_d9-POP,803.0,541.0,914.0,728.0
link-01_03-POP,583.0,554.0,908.0,744.0
link-01_07-POP,832.0,540.0,915.0,752.0
link-01_0c-POP,557.0,514.0,913.0,738.0
link-06_02-POP,805.0,437.0,912.0,742.0
link-07_1d-POP,799.0,515.0,896.0,750.0
link-09_e9-POP,850.0,590.0,925.0,749.0
link-10_23-POP,791.0,537.0,917.0,741.0
link-11_8a-POP,616.0,580.0,914.0,748.0
link-1b_dc-POP,622.0,536.0,900.0,736.0
