Link Names,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
link-31_45-POP,897.0,799.0,943.0,855.0
link-78_66-POP,624.0,711.0,627.0,743.0
link-POP-bb_a6,918.0,850.0,959.0,890.0
link-POP-aa_bb,891.0,810.0,969.0,865.0
link-30_49-POP,605.0,683.0,627.0,737.0
link-30_70-POP,869.0,751.0,888.0,836.0
link-30_87-POP,835.0,780.0,903.0,847.0
link-30_a8-POP,834.0,781.0,899.0,854.0
link-00_af-POP,825.0,550.0,917.0,716.0
link-00_c9-POP,847.0,571.0,909.0,688.0
link-00_d4-POP,862.0,575.0,878.0,702.0
link-00_da-POP,729.0,522.0,907.0,715.0
link-00_db-POP,801.0,581.0,901.0,707.0
link-00_de-POP,812.0,551.0,891.0,699.0
link-01_06-POP,786.0,535.0,913.0,692.0
link-06_C4-POP,526.0,527.0,883.0,675.0
link-0D_0A-POP,729.0,510.0,897.0,714.0
link-0D_1A-POP,789.0,491.0,886.0,706.0
link-12_86-POP,811.0,534.0,888.0,708.0
link-00_d2-POP,765.0,520.0,874.0,733.0
link-00_d9-POP,558.0,429.0,905.0,714.0
link-01_03-POP,707.0,505.0,898.0,743.0
link-01_07-POP,826.0,530.0,903.0,738.0
link-01_0c-POP,570.0,545.0,891.0,737.0
link-06_02-POP,792.0,551.0,890.0,750.0
link-07_1d-POP,831.0,556.0,898.0,739.0
link-09_e9-POP,861.0,592.0,915.0,730.0
link-10_23-POP,843.0,589.0,913.0,751.0
link-11_8a-POP,615.0,580.0,889.0,738.0
link-1b_dc-POP,617.0,512.0,917.0,740.0
