No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,1710.0,1610.0,1730.0,1390.0
2,1650.0,1570.0,1730.0,1370.0
3,1490.0,1410.0,1610.0,1370.0
4,1420.0,1360.0,1540.0,1350.0
5,1390.0,1310.0,1450.0,1350.0
6,1270.0,1220.0,1370.0,1300.0
7,1260.0,1150.0,1300.0,1260.0
8,1210.0,1040.0,1280.0,1210.0
9,1140.0,1050.0,1200.0,1150.0
10,1090.0,1020.0,1150.0,1090.0
11,1030.0,970.0,1090.0,1040.0
12,974.0,883.0,1040.0,1000.0
13,902.0,847.0,1000.0,968.0
14,907.0,806.0,978.0,914.0
15,840.0,782.0,926.0,893.0
