No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,1680.0,1600.0,1740.0,1370.0
2,1600.0,1520.0,1710.0,1370.0
3,1450.0,1380.0,1560.0,1350.0
4,1440.0,1350.0,1520.0,1310.0
5,1370.0,1270.0,1460.0,1310.0
6,1310.0,1230.0,1360.0,1310.0
7,1260.0,1160.0,1340.0,1230.0
8,1200.0,1090.0,1250.0,1210.0
9,1170.0,1050.0,1200.0,1140.0
10,1090.0,1000.0,1170.0,1090.0
11,1050.0,962.0,1100.0,1040.0
12,1010.0,901.0,1050.0,995.0
13,947.0,848.0,999.0,943.0
14,916.0,826.0,953.0,922.0
15,859.0,780.0,917.0,870.0
