No.of.Active.Links,TCP UL(Mbps),TCP DL(Mbps),UDP UL(Mbps),UDP DL(Mbps)
1,1700.0,1620.0,1710.0,1290.0
2,1650.0,1610.0,1710.0,1290.0
3,1510.0,1440.0,1630.0,1290.0
4,1450.0,1380.0,1530.0,1270.0
5,1370.0,1310.0,1510.0,1250.0
6,1350.0,1230.0,1460.0,1250.0
7,1300.0,1180.0,1380.0,1230.0
8,1230.0,1150.0,1340.0,1200.0
9,1180.0,1090.0,1270.0,1120.0
10,1120.0,1030.0,1220.0,1070.0
11,1070.0,978.0,1160.0,1040.0
12,1040.0,907.0,1110.0,964.0
13,971.0,882.0,1060.0,915.0
14,941.0,838.0,1020.0,892.0
15,793.0,805.0,976.0,843.0
