No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,722.0,811.0,603.0,929.0
2,923.0,819.0,762.0,940.0
3,819.0,876.0,608.0,788.0
4,917.0,795.0,759.0,942.0
5,888.0,580.0,636.0,941.0
6,724.0,856.0,755.0,765.0
7,760.0,527.0,753.0,818.0
8,908.0,819.0,734.0,775.0
9,728.0,758.0,576.0,939.0
10,727.0,491.0,544.0,689.0
11,826.0,735.0,748.0,704.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,920.0,857.0,952.0,912.0
2,920.0,855.0,950.0,911.0
3,900.0,849.0,950.0,903.0
4,914.0,845.0,950.0,902.0
5,898.0,826.0,948.0,888.0
6,897.0,802.0,938.0,891.0
7,896.0,765.0,932.0,873.0
8,891.0,746.0,921.0,876.0
9,884.0,730.0,931.0,868.0
10,862.0,695.0,941.0,855.0
11,851.0,664.0,524.0,866.0
