No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,821.0,657.0,766.0,928.0
2,925.0,867.0,762.0,941.0
3,915.0,813.0,763.0,792.0
4,912.0,786.0,761.0,927.0
5,774.0,778.0,760.0,927.0
6,788.0,857.0,751.0,929.0
7,640.0,837.0,747.0,925.0
8,891.0,773.0,738.0,939.0
9,722.0,766.0,734.0,736.0
10,871.0,771.0,735.0,941.0
11,879.0,730.0,726.0,925.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,907.0,858.0,949.0,920.0
2,919.0,854.0,951.0,915.0
3,923.0,845.0,950.0,907.0
4,909.0,834.0,948.0,890.0
5,891.0,814.0,943.0,881.0
6,881.0,794.0,941.0,886.0
7,880.0,761.0,941.0,867.0
8,878.0,738.0,938.0,870.0
9,888.0,738.0,936.0,863.0
10,898.0,711.0,926.0,869.0
11,871.0,678.0,926.0,883.0
