No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,1800.0,1750.0,1800.0,1790.0
2,1740.0,1710.0,1800.0,1790.0
3,1420.0,1550.0,1640.0,1650.0
4,1340.0,1500.0,1600.0,1600.0
5,1270.0,1440.0,1490.0,1510.0
6,1390.0,1360.0,1450.0,1440.0
7,1150.0,945.0,1370.0,1370.0
8,1240.0,1250.0,1300.0,889.0
9,1060.0,1200.0,1250.0,1250.0
10,1110.0,1140.0,1170.0,1180.0
11,1120.0,768.0,1110.0,1140.0
12,1020.0,1040.0,1060.0,1090.0
13,1040.0,993.0,1010.0,687.0
14,921.0,954.0,995.0,1000.0
15,945.0,921.0,921.0,961.0
,,,,
