No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,1580.0,1790.0,1790.0,1340.0
2,1400.0,1530.0,1620.0,1660.0
3,1240.0,1410.0,1440.0,1080.0
4,1330.0,1300.0,1320.0,1310.0
5,1090.0,1230.0,1290.0,1230.0
6,1200.0,1140.0,1190.0,1170.0
7,1150.0,796.0,1130.0,1110.0
8,1090.0,1060.0,1100.0,1050.0
9,1050.0,741.0,1070.0,1010.0
10,839.0,984.0,1020.0,680.0
11,968.0,943.0,976.0,930.0
12,780.0,892.0,942.0,896.0
13,763.0,574.0,890.0,866.0
14,863.0,837.0,877.0,837.0
15,792.0,804.0,755.0,810.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
