No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,1750.0,1780.0,1800.0,1290.0
2,1580.0,1550.0,1660.0,1630.0
3,1430.0,1380.0,1410.0,1410.0
4,1310.0,1290.0,1290.0,971.0
5,1120.0,795.0,918.0,897.0
6,1160.0,1040.0,902.0,1160.0
7,903.0,613.0,1080.0,1120.0
8,1010.0,850.0,857.0,738.0
9,1020.0,824.0,984.0,1010.0
10,923.0,757.0,784.0,961.0
11,928.0,758.0,895.0,944.0
12,887.0,663.0,874.0,912.0
13,776.0,385.0,827.0,869.0
14,681.0,623.0,805.0,831.0
15,549.0,372.0,752.0,803.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,1740.0,1650.0,1750.0,1540.0
2,1510.0,1410.0,1610.0,1520.0
3,1370.0,1270.0,1390.0,1330.0
4,1250.0,1160.0,1270.0,1250.0
5,1140.0,1000.0,1180.0,1150.0
6,1010.0,895.0,1120.0,1100.0
7,921.0,812.0,1080.0,1050.0
8,814.0,739.0,1020.0,784.0
9,806.0,717.0,976.0,620.0
10,717.0,630.0,931.0,910.0
11,711.0,636.0,896.0,894.0
12,638.0,563.0,873.0,720.0
13,607.0,526.0,810.0,728.0
14,568.0,512.0,786.0,659.0
15,546.0,499.0,737.0,653.0
