No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,1800.0,1780.0,1800.0,1300.0
2,1580.0,1540.0,1660.0,1630.0
3,1190.0,1380.0,1440.0,1410.0
4,1310.0,1260.0,1300.0,964.0
5,1060.0,1170.0,924.0,1220.0
6,984.0,1030.0,919.0,1160.0
7,1130.0,626.0,1090.0,1110.0
8,880.0,847.0,998.0,1040.0
9,1040.0,834.0,976.0,1010.0
10,962.0,755.0,918.0,961.0
11,935.0,757.0,910.0,945.0
12,902.0,422.0,872.0,663.0
13,553.0,378.0,711.0,649.0
14,741.0,389.0,788.0,831.0
15,479.0,609.0,776.0,802.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,1730.0,1620.0,1750.0,1510.0
2,1500.0,1370.0,1590.0,1480.0
3,1340.0,1250.0,1390.0,1310.0
4,1240.0,1130.0,1280.0,1230.0
5,1150.0,1010.0,1170.0,1140.0
6,999.0,886.0,1110.0,1090.0
7,913.0,805.0,873.0,1040.0
8,810.0,729.0,1010.0,989.0
9,795.0,719.0,974.0,959.0
10,716.0,634.0,918.0,399.0
11,704.0,629.0,682.0,786.0
12,634.0,556.0,876.0,746.0
13,609.0,527.0,789.0,688.0
14,575.0,508.0,722.0,445.0
15,566.0,518.0,773.0,407.0
