No.of.Active.Links,L3 TCP UL(Mbps),L3 TCP DL(Mbps),L3 UDP UL(Mbps),L3 UDP DL(Mbps)
1,918.0,676.0,762.0,941.0
2,683.0,781.0,642.0,892.0
3,887.0,630.0,752.0,860.0
4,795.0,758.0,678.0,927.0
5,773.0,761.0,747.0,894.0
6,778.0,804.0,746.0,920.0
7,790.0,788.0,745.0,914.0
8,840.0,778.0,726.0,918.0
9,846.0,477.0,728.0,918.0
10,819.0,729.0,659.0,918.0
11,778.0,695.0,733.0,915.0
,,,,
No.of.Active.Links,L2 TCP UL(Mbps),L2 TCP DL(Mbps),L2 UDP UL(Mbps),L2 UDP DL(Mbps)
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
